time,longitude,latitude,altitude_1,speed_1
1441138725,-86.8140803,36.1685688,132,0.4
1441138730,-86.8140821,36.1685438,132,0.3
1441138735,-86.8140793,36.1686247,133,0
1441138745,-86.8140861,36.1685906,134,0.2
1441138750,-86.8140877,36.1685871,134,0.7
1441138755,-86.8140481,36.1685616,133,1.4
1441138765,-86.8141416,36.1686759,134,2.3
1441138770,-86.8140114,36.1688217,135,3.6
1441138775,-86.8140538,36.1686974,134,1.4
1441138780,-86.8140242,36.1687062,134,1.2
1441138785,-86.8138779,36.1686248,133,2
1441138790,-86.8139825,36.1685243,134,1.9
1441138795,-86.8141133,36.1685841,133,2.4
1441138800,-86.8141377,36.1685662,133,0.2
1441138805,-86.8141485,36.1686445,133,0
1441138810,-86.8141305,36.1686803,133,0.2
1441138815,-86.8141135,36.1686634,134,0.3
1441138820,-86.8141138,36.1686433,134,0
1441138825,-86.8141467,36.1686264,134,0
1441138830,-86.8141282,36.1686007,135,0.3
1441138835,-86.8141059,36.1686464,135,0.5
1441138840,-86.8141149,36.1686834,135,0.4
1441138845,-86.8141492,36.1686904,136,0.6
1441138850,-86.8141738,36.1686945,136,0.3
1441138855,-86.8142022,36.1686888,135,0.4
1441138860,-86.8142159,36.1686811,136,0.7
1441138875,-86.8143585,36.168635,137,0
1441138890,-86.814312,36.1686586,137,-1
1441138895,-86.8143106,36.1686625,137,-1
1441138900,-86.8143099,36.1686645,137,-1
1441138915,-86.8143089,36.1686669,137,-1
1441138920,-86.8143065,36.1686735,137,-1
1441138935,-86.8143018,36.1686862,137,-1
1441138950,-86.8144026,36.1686836,136,0
1441138960,-86.8144897,36.1687831,136,0.2
1441138970,-86.8166308,36.1688847,137,2.5
1441138980,-86.8165542,36.1687285,137,1.8
1441138985,-86.8167199,36.1686976,136,1.7
1441138990,-86.8168123,36.168697,136,1
1441138995,-86.8168211,36.1686925,136,0.5
1441139000,-86.8167967,36.1687039,136,0.2
1441139005,-86.8168244,36.1686602,137,1
1441139010,-86.8168818,36.1686931,136,0.4
1441139015,-86.8168724,36.1687012,136,0.2
1441139020,-86.8169042,36.1687517,136,0.7
1441139025,-86.8168937,36.1687396,136,0.4
1441139030,-86.81692,36.1687594,136,0.5
1441139035,-86.8170161,36.1688056,136,0.4
1441139040,-86.8170365,36.1688331,136,0.7
1441139045,-86.8169937,36.1688592,136,1.2
1441139050,-86.8168842,36.1688431,135,1.1
1441139055,-86.8168731,36.168835,135,0.2
1441139060,-86.816857,36.1688275,136,0.2
1441139065,-86.816814,36.1688279,136,0.7
1441139070,-86.8168036,36.1688303,136,3
1441139075,-86.8168761,36.1689732,137,6.4
1441139080,-86.8169314,36.16918,136,2.4
1441139090,-86.8170755,36.1696564,135,9.1
1441139095,-86.8171541,36.1700661,134,6.1
1441139100,-86.8171623,36.1701081,134,0.5
1441139105,-86.8167427,36.1701675,134,6.6
1441139110,-86.8162619,36.1702287,134,8.6
1441139115,-86.8160156,36.1702616,134,4
1441139120,-86.8160356,36.170259,134,0.6
1441139125,-86.8161243,36.1702471,134,0.5
1441139130,-86.8161437,36.1702445,134,0.2
1441139135,-86.8161338,36.1702458,134,0.3
1441139140,-86.8161312,36.1702462,135,0.8
1441139145,-86.8161607,36.1702335,134,0.7
1441139150,-86.8162296,36.1702268,134,0.4
1441139155,-86.8162497,36.170234,134,1.1
1441139160,-86.8163049,36.1702248,134,0.5
1441139165,-86.8163172,36.1702618,135,1.6
1441139170,-86.8163617,36.1703203,134,1.3
1441139175,-86.8163863,36.170381,134,1.4
1441139180,-86.8163985,36.170452,134,1
